"value","low","high","low95","high95","name","name_eng","color","y","x","date"
29.9,24.1,36,21.1,40.2,"CDU/CSU","CDU/CSU","#000000",29.9,0,2024-10-07
17.4,13.2,22,11.3,24.9,"AfD","AfD","#009EE0",17.4,1,2024-10-07
16.8,12.8,21.1,10.9,24,"SPD","SPD","#DD0000",16.8,2,2024-10-07
11.2,8.3,14.3,7.1,16.4,"Grüne","Greens","#4C9A2A",11.2,3,2024-10-07
7.1,4,10.9,3.1,13.1,"BSW","BSW","#FF6A13",7.1,4,2024-10-07
4.9,3.3,6.7,2.7,8,"FDP","FDP","#FFCC00",4.9,5,2024-10-07
3.2,2,4.5,1.7,5.5,"Linke","Left","purple",3.2,6,2024-10-07
29.7,24,35.5,20.8,39.9,"CDU/CSU","CDU/CSU","#000000",29.7,0,2024-10-14
17.4,13.2,21.9,11.3,25.2,"AfD","AfD","#009EE0",17.4,1,2024-10-14
17.1,13,21.5,11.1,24.6,"SPD","SPD","#DD0000",17.1,2,2024-10-14
11.4,8.6,14.4,7.2,16.6,"Grüne","Greens","#4C9A2A",11.4,3,2024-10-14
7.4,4.2,11,3.3,13.5,"BSW","BSW","#FF6A13",7.4,4,2024-10-14
4.6,3.1,6.4,2.5,7.6,"FDP","FDP","#FFCC00",4.6,5,2024-10-14
3.2,2.1,4.4,1.7,5.3,"Linke","Left","purple",3.2,6,2024-10-14
30.2,24.3,36.2,21.1,40.3,"CDU/CSU","CDU/CSU","#000000",30.2,0,2024-10-21
17.3,13.1,21.8,11.2,25.1,"AfD","AfD","#009EE0",17.3,1,2024-10-21
16.9,13,21.2,11.2,24.4,"SPD","SPD","#DD0000",16.9,2,2024-10-21
11,8.2,13.8,7.1,15.8,"Grüne","Greens","#4C9A2A",11,3,2024-10-21
7.5,4.4,11.3,3.4,13.7,"BSW","BSW","#FF6A13",7.5,4,2024-10-21
4.6,3.1,6.4,2.6,7.7,"FDP","FDP","#FFCC00",4.6,5,2024-10-21
3.3,2.2,4.6,1.8,5.5,"Linke","Left","purple",3.3,6,2024-10-21
29.8,24.1,35.7,20.8,39.7,"CDU/CSU","CDU/CSU","#000000",29.8,0,2024-10-28
17.4,13.3,21.8,11.4,25,"AfD","AfD","#009EE0",17.4,1,2024-10-28
17,13,21.2,11.1,24,"SPD","SPD","#DD0000",17,2,2024-10-28
11,8.3,13.8,7,15.9,"Grüne","Greens","#4C9A2A",11,3,2024-10-28
7.6,4.4,11.4,3.4,13.7,"BSW","BSW","#FF6A13",7.6,4,2024-10-28
4.5,3,6.1,2.5,7.4,"FDP","FDP","#FFCC00",4.5,5,2024-10-28
3.2,2.1,4.5,1.8,5.3,"Linke","Left","purple",3.2,6,2024-10-28
30.6,24.8,36.4,21.7,41,"CDU/CSU","CDU/CSU","#000000",30.6,0,2024-11-04
17.2,13.2,21.6,11,24.7,"AfD","AfD","#009EE0",17.2,1,2024-11-04
16.8,13,20.9,11.2,23.7,"SPD","SPD","#DD0000",16.8,2,2024-11-04
10.9,8.2,13.7,7,15.6,"Grüne","Greens","#4C9A2A",10.9,3,2024-11-04
7.2,4.2,10.8,3.3,13.1,"BSW","BSW","#FF6A13",7.2,4,2024-11-04
4.5,3,6.1,2.6,7.3,"FDP","FDP","#FFCC00",4.5,5,2024-11-04
3.2,2.1,4.4,1.8,5.3,"Linke","Left","purple",3.2,6,2024-11-04
31.1,25.4,37.1,22.2,41.2,"CDU/CSU","CDU/CSU","#000000",31.1,0,2024-11-11
17.1,13.1,21.3,11.2,24.3,"AfD","AfD","#009EE0",17.1,1,2024-11-11
16.8,13,20.7,11,23.7,"SPD","SPD","#DD0000",16.8,2,2024-11-11
11,8.3,13.8,7.1,16.1,"Grüne","Greens","#4C9A2A",11,3,2024-11-11
6.7,3.9,10.1,3.1,12.5,"BSW","BSW","#FF6A13",6.7,4,2024-11-11
4.4,3,5.9,2.5,7.1,"FDP","FDP","#FFCC00",4.4,5,2024-11-11
3.3,2.3,4.6,1.9,5.4,"Linke","Left","purple",3.3,6,2024-11-11
30.9,25.2,36.6,22,40.4,"CDU/CSU","CDU/CSU","#000000",30.9,0,2024-11-18
17.4,13.4,21.8,11.6,24.8,"AfD","AfD","#009EE0",17.4,1,2024-11-18
16.5,12.8,20.4,10.9,23.4,"SPD","SPD","#DD0000",16.5,2,2024-11-18
11,8.4,13.9,7,16,"Grüne","Greens","#4C9A2A",11,3,2024-11-18
6.8,3.9,10.2,3.1,12.3,"BSW","BSW","#FF6A13",6.8,4,2024-11-18
4.6,3.2,6.3,2.7,7.4,"FDP","FDP","#FFCC00",4.6,5,2024-11-18
3.5,2.4,4.8,2,5.6,"Linke","Left","purple",3.5,6,2024-11-18
31.3,25.8,37.1,22.6,41,"CDU/CSU","CDU/CSU","#000000",31.3,0,2024-11-24
17.6,13.6,22.1,11.6,25.3,"AfD","AfD","#009EE0",17.6,1,2024-11-24
16,12.3,19.8,10.5,22.6,"SPD","SPD","#DD0000",16,2,2024-11-24
11.4,8.6,14.4,7.4,16.8,"Grüne","Greens","#4C9A2A",11.4,3,2024-11-24
6.4,3.7,9.7,2.9,11.7,"BSW","BSW","#FF6A13",6.4,4,2024-11-24
4.6,3.2,6.3,2.7,7.5,"FDP","FDP","#FFCC00",4.6,5,2024-11-24
3.6,2.5,4.9,2.1,5.8,"Linke","Left","purple",3.6,6,2024-11-24
30.9,25.3,36.7,22.2,40.7,"CDU/CSU","CDU/CSU","#000000",30.9,0,2024-12-01
