"bundesland";"plz";"wahlkreis";"ort";"wahlkreis_nr"
"Sachsen";"01067";"Dresden I";"";"158"
"Sachsen";"01069";"Dresden I";"";"158"
"Sachsen";"01097";"Dresden II – Bautzen II";"";"159"
"Sachsen";"01099";"Dresden II – Bautzen II";"";"159"
"Sachsen";"01108";"Dresden II – Bautzen II";"";"159"
"Sachsen";"01109";"Dresden II – Bautzen II";"";"159"
"Sachsen";"01127";"Dresden II – Bautzen II";"";"159"
"Sachsen";"01129";"Dresden II – Bautzen II";"";"159"
"Sachsen";"01139";"Dresden II – Bautzen II";"";"159"
"Sachsen";"01156";"Dresden II – Bautzen II";"";"159"
"Sachsen";"01157";"Dresden I";"Altstadt (Dresden)";"158"
"Sachsen";"01157";"Dresden II – Bautzen II";"Cotta (Dresden)";"159"
"Sachsen";"01159";"Dresden I";"Altstadt (Dresden)";"158"
"Sachsen";"01159";"Dresden II – Bautzen II";"Cotta (Dresden)";"159"
"Sachsen";"01169";"Dresden II – Bautzen II";"";"159"
"Sachsen";"01187";"Dresden II – Bautzen II";"Cotta (Dresden)";"159"
"Sachsen";"01187";"Dresden I";"Plauen (Dresden)";"158"
"Sachsen";"01189";"Dresden II – Bautzen II";"Cotta (Dresden)";"159"
"Sachsen";"01189";"Dresden I";"Plauen (Dresden)";"158"
"Sachsen";"01217";"Dresden I";"";"158"
"Sachsen";"01219";"Dresden I";"";"158"
"Sachsen";"01237";"Dresden I";"";"158"
"Sachsen";"01239";"Dresden I";"";"158"
"Sachsen";"01257";"Dresden I";"";"158"
"Sachsen";"01259";"Dresden I";"";"158"
"Sachsen";"01277";"Dresden I";"";"158"
"Sachsen";"01279";"Dresden I";"";"158"
"Sachsen";"01307";"Dresden I";"";"158"
"Sachsen";"01309";"Dresden I";"";"158"
"Sachsen";"01324";"Dresden II – Bautzen II";"";"159"
"Sachsen";"01326";"Dresden II – Bautzen II";"";"159"
"Sachsen";"01328";"Dresden II – Bautzen II";"";"159"
"Sachsen";"01445";"Dresden II – Bautzen II";"Dresden";"159"
"Sachsen";"01445";"Meißen";"Radebeul (Meißen)";"154"
"Sachsen";"01454";"Dresden II – Bautzen II";"";"159"
"Sachsen";"01458";"Dresden II – Bautzen II";"";"159"
"Sachsen";"01465";"Dresden II – Bautzen II";"";"159"
"Sachsen";"01468";"Dresden II – Bautzen II";"Dresden";"159"
"Sachsen";"01468";"Meißen";"Moritzburg (Meißen)";"154"
"Sachsen";"01471";"Meißen";"";"154"
"Sachsen";"01477";"Dresden II – Bautzen II";"";"159"
"Sachsen";"01558";"Meißen";"";"154"
"Sachsen";"01561";"Meißen";"";"154"
"Sachsen";"01587";"Meißen";"";"154"
"Sachsen";"01589";"Meißen";"";"154"
"Sachsen";"01591";"Meißen";"";"154"
"Sachsen";"01594";"Meißen";"";"154"
"Sachsen";"01609";"Meißen";"";"154"
"Sachsen";"01612";"Meißen";"";"154"
"Sachsen";"01616";"Meißen";"";"154"
"Sachsen";"01619";"Meißen";"";"154"
"Sachsen";"01623";"Meißen";"";"154"
"Sachsen";"01640";"Meißen";"";"154"
"Sachsen";"01662";"Meißen";"";"154"
"Sachsen";"01665";"Meißen";"";"154"
"Sachsen";"01683";"Meißen";"";"154"
"Sachsen";"01689";"Meißen";"";"154"
"Sachsen";"01705";"Sächsische Schweiz-Osterzgebirge";"";"157"
"Sachsen";"01723";"Sächsische Schweiz-Osterzgebirge";"";"157"
"Sachsen";"01728";"Sächsische Schweiz-Osterzgebirge";"";"157"
"Sachsen";"01731";"Sächsische Schweiz-Osterzgebirge";"";"157"
"Sachsen";"01734";"Sächsische Schweiz-Osterzgebirge";"";"157"
"Sachsen";"01737";"Sächsische Schweiz-Osterzgebirge";"";"157"
"Sachsen";"01738";"Sächsische Schweiz-Osterzgebirge";"";"157"
"Sachsen";"01744";"Sächsische Schweiz-Osterzgebirge";"";"157"
"Sachsen";"01762";"Sächsische Schweiz-Osterzgebirge";"";"157"
"Sachsen";"01768";"Sächsische Schweiz-Osterzgebirge";"";"157"
"Sachsen";"01773";"Sächsische Schweiz-Osterzgebirge";"";"157"
"Sachsen";"01774";"Sächsische Schweiz-Osterzgebirge";"";"157"
"Sachsen";"01776";"Sächsische Schweiz-Osterzgebirge";"";"157"
"Sachsen";"01778";"Sächsische Schweiz-Osterzgebirge";"";"157"
"Sachsen";"01796";"Sächsische Schweiz-Osterzgebirge";"Dohma (Sächsische Schweiz-Osterzgebirge), Pirna (Sächsische Schweiz-Osterzgebirge), Struppen (Sächsische Schweiz-Osterzgebirge)";"157"
"Sachsen";"01796";"Dresden II – Bautzen II";"Dresden";"159"
"Sachsen";"01809";"Sächsische Schweiz-Osterzgebirge";"";"157"
"Sachsen";"01814";"Sächsische Schweiz-Osterzgebirge";"";"157"
"Sachsen";"01816";"Sächsische Schweiz-Osterzgebirge";"";"157"
"Sachsen";"01819";"Sächsische Schweiz-Osterzgebirge";"";"157"
"Sachsen";"01824";"Sächsische Schweiz-Osterzgebirge";"";"157"
"Sachsen";"01825";"Sächsische Schweiz-Osterzgebirge";"";"157"
"Sachsen";"01829";"Sächsische Schweiz-Osterzgebirge";"";"157"
"Sachsen";"01833";"Sächsische Schweiz-Osterzgebirge";"";"157"
"Sachsen";"01844";"Sächsische Schweiz-Osterzgebirge";"";"157"
"Sachsen";"01847";"Sächsische Schweiz-Osterzgebirge";"";"157"
"Sachsen";"01848";"Sächsische Schweiz-Osterzgebirge";"";"157"
"Sachsen";"01855";"Sächsische Schweiz-Osterzgebirge";"";"157"
"Sachsen";"01877";"Bautzen I";"";"155"
"Sachsen";"01896";"Bautzen I";"";"155"
"Sachsen";"01900";"Dresden II – Bautzen II";"";"159"
"Sachsen";"01904";"Bautzen I";"";"155"
"Sachsen";"01906";"Bautzen I";"";"155"
"Sachsen";"01909";"Bautzen I";"";"155"
"Sachsen";"01917";"Bautzen I";"";"155"
"Sachsen";"01920";"Bautzen I";"";"155"
"Sachsen";"01936";"Bautzen I";"";"155"
"Brandenburg";"01945";"Elbe-Elster – Oberspreewald-Lausitz";"";"065"
"Brandenburg";"01968";"Elbe-Elster – Oberspreewald-Lausitz";"";"065"
"Brandenburg";"01979";"Elbe-Elster – Oberspreewald-Lausitz";"";"065"
"Brandenburg";"01983";"Elbe-Elster – Oberspreewald-Lausitz";"";"065"
"Brandenburg";"01987";"Elbe-Elster – Oberspreewald-Lausitz";"";"065"
"Brandenburg";"01990";"Elbe-Elster – Oberspreewald-Lausitz";"";"065"
"Brandenburg";"01993";"Elbe-Elster – Oberspreewald-Lausitz";"";"065"
"Brandenburg";"01994";"Elbe-Elster – Oberspreewald-Lausitz";"";"065"
"Brandenburg";"01996";"Elbe-Elster – Oberspreewald-Lausitz";"";"065"
"Brandenburg";"01998";"Elbe-Elster – Oberspreewald-Lausitz";"";"065"
"Sachsen";"02625";"Bautzen I";"";"155"
"Sachsen";"02627";"Bautzen I";"";"155"
"Sachsen";"02633";"Bautzen I";"";"155"
"Sachsen";"02681";"Bautzen I";"";"155"
"Sachsen";"02689";"Bautzen I";"";"155"
"Sachsen";"02692";"Bautzen I";"";"155"
"Sachsen";"02694";"Bautzen I";"";"155"
"Sachsen";"02699";"Bautzen I";"";"155"
"Sachsen";"02708";"Görlitz";"";"156"
"Sachsen";"02727";"Görlitz";"";"156"
"Sachsen";"02730";"Görlitz";"";"156"
"Sachsen";"02733";"Bautzen I";"";"155"
"Sachsen";"02736";"Görlitz";"";"156"
"Sachsen";"02739";"Görlitz";"";"156"
"Sachsen";"02742";"Görlitz";"";"156"
"Sachsen";"02747";"Görlitz";"";"156"
"Sachsen";"02748";"Görlitz";"";"156"
"Sachsen";"02763";"Görlitz";"";"156"
"Sachsen";"02779";"Görlitz";"";"156"
"Sachsen";"02782";"Görlitz";"";"156"
"Sachsen";"02785";"Görlitz";"";"156"
"Sachsen";"02788";"Görlitz";"";"156"
"Sachsen";"02791";"Görlitz";"";"156"
"Sachsen";"02794";"Görlitz";"";"156"
"Sachsen";"02796";"Görlitz";"";"156"
"Sachsen";"02797";"Görlitz";"";"156"
"Sachsen";"02799";"Görlitz";"";"156"
"Sachsen";"02826";"Görlitz";"";"156"
"Sachsen";"02827";"Görlitz";"";"156"
"Sachsen";"02828";"Görlitz";"";"156"
"Sachsen";"02829";"Görlitz";"";"156"
"Sachsen";"02894";"Görlitz";"";"156"
"Sachsen";"02899";"Görlitz";"";"156"
"Sachsen";"02906";"Görlitz";"";"156"
"Sachsen";"02923";"Görlitz";"";"156"
"Sachsen";"02929";"Görlitz";"";"156"
"Sachsen";"02943";"Görlitz";"";"156"
"Sachsen";"02953";"Görlitz";"";"156"
"Sachsen";"02956";"Görlitz";"";"156"
"Sachsen";"02957";"Görlitz";"";"156"
"Sachsen";"02959";"Görlitz";"";"156"
"Sachsen";"02977";"Bautzen I";"";"155"
"Sachsen";"02979";"Bautzen I";"";"155"
"Sachsen";"02991";"Bautzen I";"";"155"
"Sachsen";"02994";"Bautzen I";"";"155"
"Sachsen";"02997";"Bautzen I";"";"155"
"Sachsen";"02999";"Bautzen I";"";"155"
"Brandenburg";"03042";"Cottbus – Spree-Neiße";"";"064"
"Brandenburg";"03044";"Cottbus – Spree-Neiße";"";"064"
"Brandenburg";"03046";"Cottbus – Spree-Neiße";"";"064"
"Brandenburg";"03048";"Cottbus – Spree-Neiße";"";"064"
"Brandenburg";"03050";"Cottbus – Spree-Neiße";"";"064"
"Brandenburg";"03051";"Cottbus – Spree-Neiße";"";"064"
"Brandenburg";"03052";"Cottbus – Spree-Neiße";"";"064"
"Brandenburg";"03053";"Cottbus – Spree-Neiße";"";"064"
"Brandenburg";"03054";"Cottbus – Spree-Neiße";"";"064"
"Brandenburg";"03055";"Cottbus – Spree-Neiße";"";"064"
"Brandenburg";"03058";"Cottbus – Spree-Neiße";"";"064"
"Brandenburg";"03096";"Cottbus – Spree-Neiße";"";"064"
"Brandenburg";"03099";"Cottbus – Spree-Neiße";"";"064"
"Brandenburg";"03103";"Elbe-Elster – Oberspreewald-Lausitz";"";"065"
"Brandenburg";"03116";"Cottbus – Spree-Neiße";"";"064"
"Brandenburg";"03119";"Cottbus – Spree-Neiße";"";"064"
"Brandenburg";"03130";"Cottbus – Spree-Neiße";"";"064"
"Brandenburg";"03149";"Cottbus – Spree-Neiße";"";"064"
"Brandenburg";"03159";"Cottbus – Spree-Neiße";"";"064"
"Brandenburg";"03172";"Cottbus – Spree-Neiße";"";"064"
"Brandenburg";"03185";"Cottbus – Spree-Neiße";"";"064"
"Brandenburg";"03197";"Cottbus – Spree-Neiße";"";"064"
"Brandenburg";"03205";"Elbe-Elster – Oberspreewald-Lausitz";"";"065"
"Brandenburg";"03222";"Elbe-Elster – Oberspreewald-Lausitz";"";"065"
"Brandenburg";"03226";"Elbe-Elster – Oberspreewald-Lausitz";"";"065"
"Brandenburg";"03229";"Elbe-Elster – Oberspreewald-Lausitz";"";"065"
"Brandenburg";"03238";"Elbe-Elster – Oberspreewald-Lausitz";"";"065"
"Brandenburg";"03246";"Elbe-Elster – Oberspreewald-Lausitz";"";"065"
"Brandenburg";"03249";"Elbe-Elster – Oberspreewald-Lausitz";"";"065"
"Brandenburg";"03253";"Elbe-Elster – Oberspreewald-Lausitz";"";"065"
"Sachsen";"04103";"Leipzig II";"";"152"
"Sachsen";"04105";"Leipzig II";"";"152"
"Sachsen";"04107";"Leipzig II";"";"152"
"Sachsen";"04109";"Leipzig II";"";"152"
"Sachsen";"04129";"Leipzig I";"";"151"
"Sachsen";"04155";"Leipzig I";"";"151"
"Sachsen";"04157";"Leipzig I";"";"151"
"Sachsen";"04158";"Leipzig I";"";"151"
"Sachsen";"04159";"Leipzig I";"";"151"
"Sachsen";"04177";"Leipzig I";"";"151"
"Sachsen";"04178";"Leipzig I";"";"151"
"Sachsen";"04179";"Leipzig I";"Altlindenau (Leipzig), Leutzsch (Leipzig), Neulindenau (Leipzig)";"151"
"Sachsen";"04179";"Leipzig II";"Schönau (Leipzig)";"152"
"Sachsen";"04205";"Leipzig II";"";"152"
"Sachsen";"04207";"Leipzig II";"";"152"
"Sachsen";"04209";"Leipzig II";"";"152"
"Sachsen";"04229";"Leipzig II";"";"152"
"Sachsen";"04249";"Leipzig II";"";"152"
"Sachsen";"04275";"Leipzig II";"";"152"
"Sachsen";"04277";"Leipzig II";"";"152"
"Sachsen";"04279";"Leipzig II";"";"152"
"Sachsen";"04288";"Leipzig II";"";"152"
"Sachsen";"04289";"Leipzig II";"";"152"
"Sachsen";"04299";"Leipzig II";"";"152"
"Sachsen";"04315";"Leipzig I";"";"151"
"Sachsen";"04316";"Leipzig I";"Baalsdorf (Leipzig), Mölkau (Leipzig)";"151"
"Sachsen";"04316";"Leipzig II";"Holzhausen (Leipzig)";"152"
"Sachsen";"04317";"Leipzig I";"Neustadt-Neuschönefeld (Leipzig)";"151"
"Sachsen";"04317";"Leipzig II";"Reudnitz-Thonberg (Leipzig), Zentrum-Ost (Leipzig)";"152"
"Sachsen";"04318";"Leipzig I";"";"151"
"Sachsen";"04319";"Leipzig I";"";"151"
"Sachsen";"04328";"Leipzig I";"";"151"
"Sachsen";"04329";"Leipzig I";"";"151"
"Sachsen";"04347";"Leipzig I";"";"151"
"Sachsen";"04349";"Leipzig I";"";"151"
"Sachsen";"04356";"Leipzig I";"";"151"
"Sachsen";"04357";"Leipzig I";"";"151"
"Sachsen";"04416";"Leipzig-Land";"";"153"
"Sachsen";"04420";"Leipzig-Land";"";"153"
"Sachsen";"04425";"Nordsachsen";"";"150"
"Sachsen";"04435";"Nordsachsen";"";"150"
"Sachsen";"04442";"Leipzig-Land";"";"153"
"Sachsen";"04451";"Leipzig-Land";"";"153"
"Sachsen";"04463";"Leipzig-Land";"";"153"
"Sachsen";"04509";"Nordsachsen";"";"150"
"Sachsen";"04519";"Nordsachsen";"";"150"
"Sachsen";"04523";"Leipzig-Land";"";"153"
"Sachsen";"04539";"Leipzig-Land";"";"153"
"Sachsen";"04552";"Leipzig-Land";"";"153"
"Sachsen";"04564";"Leipzig-Land";"";"153"
"Sachsen";"04565";"Leipzig-Land";"";"153"
"Sachsen";"04567";"Leipzig-Land";"";"153"
"Sachsen";"04571";"Leipzig-Land";"";"153"
"Sachsen";"04575";"Leipzig-Land";"";"153"
"Thüringen";"04600";"Gera – Greiz – Altenburger Land";"";"193"
"Thüringen";"04603";"Gera – Greiz – Altenburger Land";"";"193"
"Thüringen";"04610";"Gera – Greiz – Altenburger Land";"";"193"
"Thüringen";"04613";"Gera – Greiz – Altenburger Land";"";"193"
"Thüringen";"04617";"Gera – Greiz – Altenburger Land";"";"193"
"Thüringen";"04618";"Gera – Greiz – Altenburger Land";"";"193"
"Thüringen";"04626";"Gera – Greiz – Altenburger Land";"";"193"
"Thüringen";"04639";"Gera – Greiz – Altenburger Land";"";"193"
"Sachsen";"04643";"Leipzig-Land";"";"153"
"Sachsen";"04651";"Leipzig-Land";"";"153"
"Sachsen";"04654";"Leipzig-Land";"";"153"
"Sachsen";"04668";"Leipzig-Land";"";"153"
"Sachsen";"04680";"Leipzig-Land";"";"153"
"Sachsen";"04683";"Leipzig-Land";"";"153"
"Sachsen";"04687";"Leipzig-Land";"";"153"
"Sachsen";"04703";"Mittelsachsen";"";"160"
"Sachsen";"04720";"Mittelsachsen";"";"160"
"Sachsen";"04736";"Mittelsachsen";"";"160"
"Sachsen";"04741";"Mittelsachsen";"";"160"
"Sachsen";"04746";"Mittelsachsen";"";"160"
"Sachsen";"04749";"Mittelsachsen";"";"160"
"Sachsen";"04758";"Nordsachsen";"";"150"
"Sachsen";"04769";"Nordsachsen";"";"150"
