# (c) Die Bundeswahlleiterin, Wiesbaden 2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# Ergebnis der Wahl zum 20. Deutschen Bundestag am 26. September 2021 umgerechnet auf die 299 Wahlkreise in der für die Bundestagswahl 2025 festgelegten Abgrenzung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wkr-Nr.;Land;Wahlkreisname;Wahlberechtigte (A);Wahlberechtigte ohne Sperrvermerk (A1);Wahlberechtigte mit Sperrvermerk (A2);Wahlberechtigte nach § 25 Abs 2 BWO (A3);Wählende (B);Wählende mit Wahlschein (B1);Ungültige;Ungültig;Gültige;Gültig;CDU;CDU;SPD;SPD;AfD;AfD;FDP;FDP;DIE LINKE;DIE LINKE;GRÜNE;GRÜNE;CSU;CSU;FREIE WÄHLER;FREIE WÄHLER;Die PARTEI;Die PARTEI;Tierschutzpartei;Tierschutzpartei;HEIMAT;HEIMAT;PIRATEN;PIRATEN;ÖDP;ÖDP;V-Partei³;V-Partei³;DiB;DiB;BP;BP;Tierschutzallianz;Tierschutzallianz;MLPD;MLPD;Verjüngungsforschung;Verjüngungsforschung;MENSCHLICHE WELT;MENSCHLICHE WELT;DKP;DKP;Die Grauen;Die Grauen;BüSo;BüSo;Die Humanisten;Die Humanisten;Gartenpartei;Gartenpartei;du;du;SGP;SGP;dieBasis;dieBasis;Bündnis C;Bündnis C;BÜRGERBEWEGUNG;BÜRGERBEWEGUNG;III Weg;III Weg;Bündnis21;Bündnis21;LIEBE;LIEBE;LKR;LKR;PdF;PdF;LfK;LfK;SSW;SSW;Team Todenhöfer;Team Todenhöfer;UNABHÄNGIGE;UNABHÄNGIGE;Volt;Volt;Volksabstimmung;B*;sonstige;FAMILIE;Graue Panther;KlimalisteBW;THP;WGr/EB
;;;;;;;;;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Zweitstimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen
1;SH;Flensburg – Schleswig;231536;176166;55370;0;180112;52713;1537;1487;178575;178625;41721;36421;38927;45508;9768;10317;12299;19189;6544;7475;50231;33300;0;0;2324;1715;0;1844;0;1990;0;138;0;0;0;132;0;194;0;0;0;0;0;0;0;12;0;0;0;0;0;40;0;0;0;0;0;157;0;0;227;118;;0;3357;2866;0;0;0;0;0;0;0;0;0;0;157;73;;0;;0;13020;16415;0;318;0;0;0;403;0;0;0;0;0;0;0;0
2;SH;Nordfriesland – Dithmarschen Nord;188267;137969;50298;0;145387;47885;1337;1242;144050;144145;43745;35511;40026;37926;8274;8798;13958;18350;4060;4437;20611;22588;0;0;1510;1081;0;1322;0;1604;0;146;0;0;0;121;0;125;0;0;0;0;0;0;0;26;0;0;0;0;0;33;0;0;0;0;0;130;0;0;0;59;;0;2254;1836;0;0;0;0;0;0;0;0;0;0;202;60;;0;;0;9410;9516;0;239;0;0;0;237;0;0;0;0;0;0;0;0
3;SH;Steinburg – Dithmarschen Süd;176899;137490;39409;0;136299;37641;1319;1190;134980;135109;39431;32842;39379;37468;10429;11303;19315;18492;4339;4524;16686;19237;0;0;2566;1713;0;1346;0;1719;0;190;0;0;0;105;581;250;0;0;0;0;0;0;0;25;0;0;0;0;0;29;0;0;0;0;0;118;0;0;0;77;;0;2040;1712;0;0;0;0;0;0;0;0;0;0;214;84;;0;;0;0;3366;0;283;0;0;0;226;0;0;0;0;0;0;0;0
4;SH;Rendsburg-Eckernförde;202226;149537;52689;0;162060;50314;1410;1105;160650;160955;47688;38517;49474;43148;10200;10564;12903;19322;4416;5163;23832;28828;0;0;1651;1174;2150;1618;0;1728;0;158;0;0;0;122;0;127;0;0;0;0;0;0;0;33;0;0;0;0;0;23;0;0;0;0;0;136;0;0;0;69;;0;2502;2375;0;0;0;0;0;0;0;0;0;0;0;49;;0;;0;5834;7304;0;244;0;0;0;253;0;0;0;0;0;0;0;0
5;SH;Kiel;202482;137420;65030;32;155986;62528;1170;918;154816;155068;28416;23920;45709;40338;7147;7654;11445;16110;7275;9430;43532;44089;0;0;1144;954;2944;2185;0;1676;0;122;0;0;0;116;0;171;0;0;0;0;0;0;76;39;0;0;0;0;110;88;0;0;0;0;0;299;0;0;202;114;;0;2009;1924;0;0;0;0;0;0;0;0;0;0;0;50;;0;;0;4141;4486;0;747;0;0;666;556;0;0;0;0;0;0;0;0
6;SH;Plön – Neumünster;174908;129632;45276;0;133721;43072;1759;1194;131962;132527;36870;30290;41497;38670;9404;9741;12420;15901;3718;4232;20740;23051;0;0;2386;1275;2196;1300;0;1446;0;242;0;0;0;94;0;98;0;0;0;0;0;0;0;23;0;0;0;0;0;34;0;0;0;0;0;111;0;0;0;70;;0;2508;2007;0;0;0;0;0;0;0;0;0;0;223;94;;0;;0;0;3203;0;415;0;0;0;230;0;0;0;0;0;0;0;0
7;SH;Pinneberg;238388;166061;72327;0;191512;68933;1443;1242;190069;190270;49710;42057;59298;55693;12141;13080;20737;25663;5659;6363;32109;34291;0;0;2380;1731;2352;1805;0;2320;0;188;0;0;0;202;0;208;0;0;0;0;0;0;0;21;0;0;0;0;0;59;0;0;0;0;0;182;0;0;0;127;;0;2895;2389;0;0;0;0;0;0;0;0;0;0;166;108;;0;;0;2622;2527;0;799;0;0;0;457;0;0;0;0;0;0;0;0
8;SH;Segeberg – Stormarn-Mitte;249202;178400;70800;2;199618;67262;1700;1353;197918;198265;55265;44285;63369;56658;14040;14527;20575;27675;6202;6468;27109;33361;0;0;4670;2297;3299;2226;0;2663;0;225;0;0;0;194;0;202;0;0;0;0;0;0;0;30;0;0;0;0;0;54;0;0;0;0;0;186;0;0;0;119;;0;3389;2839;0;0;0;0;0;0;0;0;0;0;0;53;;0;;0;0;3108;0;586;0;0;0;509;0;0;0;0;0;0;0;0
9;SH;Ostholstein – Stormarn-Nord;183138;132797;50341;0;143092;48044;1301;1126;141791;141966;42991;35564;47714;42520;9647;10073;13289;17986;4122;4036;19025;22314;0;0;2582;1603;0;1104;0;1729;0;198;0;0;0;102;0;111;0;0;0;0;0;0;0;13;0;0;0;0;0;28;0;0;0;0;0;88;0;0;0;65;;0;2032;1691;0;0;0;0;0;0;0;0;0;0;0;29;;0;;0;0;2241;0;182;0;0;0;289;0;0;0;0;0;0;0;389
